,index,x,y,z,name
0,1,216,320,18.0, ABaraapppa
1,2,196,311,17.0, ABaraapppp
2,3,232,352,17.0, ABaraappaa
3,4,222,337,18.0, ABaraappap
4,5,230,298,16.0, ABaraapapp
5,6,244,314,17.0, ABaraapapa
6,7,258,341,18.0, ABaraapaaa
7,8,241,334,18.0, ABaraapaap
8,9,198,347,23.0, ABarapppaa
9,10,173,300,23.0, ABarappaap
10,11,185,331,23.0, ABarapppap
11,12,147,321,23.0, ABarappppp
12,13,150,301,21.0, ABprpapaaa
13,14,163,313,23.0, ABarappapa
14,15,145,294,24.0, ABarappapp
15,16,201,313,21.0, ABarapaapp
16,17,209,333,23.0, ABaraaappp
17,18,219,303,23.0, ABarapaaap
18,19,216,324,21.0, ABarapaapa
19,20,161,279,20.0, MSpapapa
20,21,177,278,22.0, ABarapappp
21,22,186,301,21.0, ABarapappa
22,23,191,291,23.0, ABarapapap
24,25,178,247,8.0, ABarpaappp
25,26,176,278,8.0, ABarpaappa
26,27,183,297,8.0, ABarpaapap
27,28,220,314,10.0, MSaaaapp
28,29,203,318,8.0, ABarpaapaa
29,30,232,363,8.0, ABarpaaaaa
30,31,240,345,8.0, ABarpaaaap
31,32,214,333,7.0, ABarpaaapp
32,33,228,347,9.0, ABarpaaapa
33,34,198,351,8.0, ABarpapaap
34,35,212,353,8.0, ABarpapaaa
35,36,181,324,8.0, ABarpapapp
36,37,201,336,8.0, ABarpapapa
37,38,143,307,8.0, ABarpapppp
38,39,162,316,9.0, ABarpapppa
39,40,177,343,8.0, ABarpappaa
40,41,160,329,8.0, ABarpappap
41,42,210,365,24.0, ABalaapaap
42,43,198,369,23.0, ABalaapapa
43,44,227,372,23.0, ABalaapaaa
44,45,198,375,15.0, ABalaapppp
45,46,212,373,16.0, ABalaapppa
46,47,279,318,19.0, ABalaaaalp
47,48,244,374,19.0, ABalaaaarr
48,49,271,360,19.0, ABalaaaarl
49,50,259,373,15.0, ABalaaapar
50,51,276,349,16.0, ABalaaapal
51,52,280,342,20.0, ABalaaaala
52,53,212,378,20.0, ABalaappap
53,54,229,383,20.0, ABalaappaa
54,55,226,380,18.0, ABalaaappr
55,56,243,376,16.0, ABalaaappl
56,57,257,362,10.0, ABalappaap
57,58,252,377,13.0, ABalappaaa
58,59,218,377,12.0, ABalappapp
59,60,233,384,14.0, ABalappapa
60,61,235,369,12.0, ABalapppaa
61,62,219,359,12.0, ABalapppap
62,63,186,345,10.0, ABalappppp
63,64,202,360,13.0, ABalappppa
64,65,269,296,20.0, ABalppapaa
65,66,277,297,16.0, ABalppaapp
66,67,285,305,18.0, ABalppaapa
67,68,286,337,17.0, ABalppaaaa
68,69,287,322,17.0, ABalppaaap
69,70,252,258,22.0, ABalppappp
70,71,259,273,22.0, ABalppappa
71,72,255,286,23.0, ABalppapap
72,73,255,311,15.0, MSapaaap
73,74,273,317,17.0, MSapaaaa
74,75,244,287,18.0, MSapaap
75,76,254,293,15.0, MSapapaa
76,77,233,277,15.0, MSapapap
77,78,229,282,13.0, MSapappa
78,79,215,269,11.0, MSapappp
79,80,253,271,13.0, ABalpppppa
80,81,246,255,12.0, ABalpppppp
81,82,250,287,11.0, ABalppppap
82,83,265,299,13.0, ABalppppaa
83,84,279,307,11.0, ABalpppaap
84,85,284,313,14.0, ABalpppaaa
85,86,276,295,13.0, ABalpppapa
86,87,267,277,12.0, ABalpppapp
87,88,205,280,21.0, ABalpapppp
89,90,224,281,21.0, ABalpappap
90,91,230,306,19.0, ABalpaaapp
91,92,240,273,23.0, ABalpapapa
92,93,232,260,21.0, ABalpapapp
93,94,275,329,23.0, ABalpaappa
94,95,270,311,22.0, ABalpaappp
95,96,258,327,21.0, ABalpaapap
96,97,261,344,21.0, ABalpaapaa
97,98,239,314,21.0, ABalpaaapa
98,99,253,302,22.0, ABalpapaaa
99,100,251,330,24.0, ABalpaaaaa
100,101,267,359,13.0, ABalapaaaa
101,102,265,346,12.0, ABalapaaap
102,103,276,327,12.0, ABalapaapp
103,104,269,335,14.0, ABalapaapa
104,105,262,312,11.0, ABalapappa
105,106,238,296,10.0, ABalapappp
106,107,254,347,9.0, ABalapapaa
107,108,257,331,10.0, ABalapapap
108,109,246,353,23.0, ABaraaapaa
109,110,229,342,21.0, ABaraaapap
110,111,222,354,23.0, ABaraaappa
111,112,253,360,19.0, ABaraaaapa
112,113,249,346,15.0, ABaraaaapp
113,114,240,363,22.0, ABaraaaaap
114,115,265,356,22.0, ABaraaaaaa
116,117,190,354,22.0, ABalaapapp
117,118,173,345,22.0, ABprpaaaaa
118,119,161,331,21.0, ABprpaaaap
119,120,154,345,22.0, ABprpaaapa
120,121,141,332,21.0, ABprpaaapp
121,122,144,344,18.0, ABprpaapap
122,123,133,329,18.0, ABprpaappa
123,124,119,318,18.0, ABprpaappp
124,125,122,279,22.0, ABprppaapa
125,126,134,257,23.0, ABprpapapp
126,127,139,289,22.0, ABprpapaap
127,128,158,266,23.0, ABprpappap
128,129,163,285,23.0, ABprpappaa
