,index,x,y,z,name
0,1,155,321,14.0, ABprpaaaa
1,2,155,345,14.0, ABprpaaap
2,3,183,359,12.0, ABprpapaa
3,4,166,366,11.0, ABprpapap
4,5,162,365,17.0, ABprpaapp
5,6,157,345,17.0, ABprpaapa
6,7,190,390,10.0, ABprpappp
7,8,185,372,9.0, ABprpappa
8,9,198,421,9.0, ABprppppp
9,10,188,423,13.0, ABprppppa
10,11,180,421,17.0, ABprpppaa
11,12,194,442,18.0, ABprpppap
12,13,167,384,15.0, ABprppaaa
13,14,174,399,15.0, ABprppaap
14,15,185,407,18.0, ABprppapa
15,16,201,429,18.0, ABprppapp
16,17,172,377,22.0, ABpraappp
17,18,158,356,22.0, ABpraappa
18,19,160,307,24.0, ABpraapaa
19,20,162,336,24.0, ABpraapap
20,21,159,291,20.0, ABpraaapa
21,22,161,314,20.0, ABpraaapp
22,23,151,302,16.0, ABpraaaap
23,24,153,279,16.0, ABpraaaaa
24,25,196,427,24.0, ABprappap
25,26,179,407,23.0, ABprappaa
26,27,215,452,19.0, ABprapppp
27,28,209,443,24.0, ABprapppa
28,29,174,359,26.0, ABprapaaa
29,30,192,378,25.0, ABprapaap
30,31,216,426,26.0, ABprapapp
31,32,196,397,25.0, ABprapapa
32,33,287,389,9.0, ABplppppp
33,34,285,359,9.0, ABplppppa
34,35,305,376,12.0, ABplpppap
35,36,300,349,11.0, ABplpppaa
36,37,297,304,16.0, ABplpaapp
37,38,288,313,12.0, ABplppaaa
38,39,294,326,12.0, ABplppaap
39,40,293,364,14.0, ABplppapp
40,41,301,337,15.0, ABplppapa
41,42,265,312,9.0, ABplpappa
42,43,273,339,9.0, ABplpappp
43,44,274,297,10.0, ABplpapap
44,45,271,278,10.0, ABplpapaa
45,46,289,275,18.0, ABplpaapa
46,47,272,258,16.0, ABplpaaaa
47,48,288,284,14.0, ABplpaaap
48,49,171,303,10.0, ABarappaa
49,50,187,332,10.0, ABarappap
50,51,168,322,10.0, ABarapppa
51,52,174,338,13.0, ABarapppp
52,53,190,295,10.0, ABarapaap
53,54,190,272,9.0, ABarapaaa
54,55,199,313,9.0, ABarapapa
55,56,210,337,9.0, ABarapapp
56,57,210,302,11.0, ABaraappp
57,58,204,280,11.0, ABaraappa
58,59,209,246,10.0, ABaraapaa
59,60,214,267,12.0, ABaraapap
60,61,195,254,12.0, ABaraaaap
61,62,186,231,12.0, ABaraaaaa
62,63,179,257,11.0, ABaraaapa
63,64,172,283,10.0, ABaraaapp
64,65,182,291,27.0, ABarpapap
65,66,182,332,24.0, ABarpappp
66,67,184,310,26.0, ABarpappa
67,68,210,320,25.0, ABarpaapp
68,69,215,289,26.0, ABarpaapa
69,70,199,249,27.0, ABarpaaaa
70,71,213,269,25.0, ABarpaaap
71,72,253,339,25.0, ABarppaap
72,73,232,310,25.0, ABarppaaa
73,74,278,372,24.0, ABarppapp
74,75,262,355,25.0, ABarppapa
75,76,204,362,25.0, ABarpppap
76,77,197,343,26.0, ABarpppaa
77,78,221,376,24.0, ABarppppa
78,79,163,258,19.0, ABalaappa
79,80,169,273,22.0, ABalaappp
80,81,171,239,16.0, ABalaapaa
81,82,161,255,16.0, ABalaapap
82,83,205,216,20.0, ABalaaaal
83,84,191,219,16.0, ABalaaaar
84,85,183,222,20.0, ABalaaapa
85,86,169,236,20.0, ABalaaapp
86,87,192,300,22.0, ABalapppp
87,88,192,272,26.0, ABarpapaa
88,89,187,274,24.0, ABalapppa
89,90,243,279,22.0, ABalapapp
90,91,228,257,23.0, ABalapapa
91,92,186,256,22.0, ABalappap
92,93,188,237,23.0, ABalappaa
93,94,207,228,23.0, ABalapaaa
94,95,221,240,23.0, ABalapaap
95,96,264,291,21.0, ABalppppp
96,97,266,263,21.0, ABalppppa
97,98,230,245,19.0, ABalpppaa
98,99,252,251,19.0, ABalpppap
99,100,259,237,15.0, ABalppaap
100,101,247,226,17.0, ABalppaaa
101,102,256,274,12.0, ABalppapp
102,103,258,251,11.0, ABalppapa
103,104,230,242,16.0, ABalpaapp
104,105,205,229,13.0, ABalpaaaa
105,106,227,226,12.0, ABalpaaap
106,107,229,244,10.0, ABalpapaa
107,108,239,260,10.0, ABalpapap
108,109,232,297,9.0, ABalpappp
109,110,226,277,9.0, ABalpappa
110,111,289,425,22.0, Caaap
111,112,284,392,26.0, Caaaa
112,113,306,423,17.0, Caapp
113,114,309,405,20.0, Caapa
114,115,289,410,14.0, Cappa
115,116,280,430,15.0, Cappp
116,117,272,428,10.0, Capaa
117,118,283,449,15.0, Capap
118,119,256,470,17.0, Cpapp
119,120,247,453,22.0, Cpapa
120,121,263,436,25.0, Cpaap
121,122,229,401,24.0, ABarppppp
122,123,246,400,27.0, Cpaaa
123,124,230,423,14.0, Dpp
124,125,234,449,16.0, Cpppa
125,126,259,445,15.0, Cpppp
126,127,208,436,12.0, Cppaa
127,128,243,449,10.0, Cppap
128,129,269,382,11.0, Daa
129,130,260,410,13.0, Dap
130,131,208,403,12.0, Dpa
131,132,246,361,13.0, Z3
132,133,238,394,13.0, Z2
133,134,245,339,8.0, MSaappa
134,135,256,366,9.0, MSaappp
135,136,237,297,13.0, MSaapaa
136,137,247,328,11.0, MSaapap
137,138,193,240,17.0, MSaaaaa
138,139,202,263,18.0, MSaaaap
139,140,220,278,17.0, MSaaapa
140,141,230,311,16.0, MSaaapp
141,142,277,357,17.0, MSapppp
142,143,278,326,17.0, MSapppa
143,144,259,311,13.0, MSappaa
144,145,267,341,13.0, MSappap
145,146,248,290,17.0, MSapaap
146,147,240,261,16.0, MSapaaa
147,148,269,288,17.0, MSapapa
148,149,269,316,19.0, MSapapp
149,150,175,268,16.0, MSpaaaa
150,151,194,285,19.0, MSpaaap
151,152,195,305,16.0, MSpaapa
152,153,221,325,17.0, MSpaapp
153,154,215,322,13.0, MSpapaa
154,155,225,352,12.0, MSpapap
155,156,226,383,10.0, MSpappp
156,157,211,360,9.0, MSpappa
157,158,201,393,16.0, MSppppp
158,159,184,371,16.0, MSppppa
159,160,207,372,14.0, MSpppap
160,161,196,346,14.0, MSpppaa
161,162,190,356,19.0, MSppapp
162,163,173,328,19.0, MSppapa
163,164,173,299,15.0, MSppaaa
164,165,186,326,16.0, MSppaap
165,166,222,356,18.0, Earp
166,167,209,326,21.0, Eara
167,168,297,319,21.0, ABplaappp
168,169,291,293,22.0, ABplaappa
169,170,262,254,25.0, ABplaapaa
170,171,277,279,26.0, ABplaapap
171,172,259,311,26.0, ABplaaapp
172,173,252,280,27.0, ABplaaapa
173,174,303,396,13.0, ABplapppp
174,175,311,385,17.0, ABplapppa
175,176,309,365,20.0, ABplappap
176,177,300,343,20.0, ABplappaa
177,178,281,304,27.0, ABplapaaa
178,179,281,327,26.0, ABplapaap
179,180,302,385,21.0, ABplapapp
180,181,292,344,25.0, ABplapapa
182,183,220,382,19.0, Epra
183,184,264,408,21.0, Eplp
184,185,262,370,20.0, Epla
185,186,238,309,21.0, Eala
186,187,256,344,18.0, Ealp
187,188,239,260,26.0, ABplaaaap
188,189,244,239,25.0, ABplaaaaa
189,190,219,218,17.0, ABalpaapa
190,191,236,416,19.0, Eprp
